identifier,Mom_Wing_Length_mm,Tot_Eggs,Eggs_Post_Sterile,Egg_Hatch,Hatch_Rate,CFU_Eggs,Log_CFU_Eggs,Tot_Larvae,Tot_Died,Tot_Arrested,Tot_Pupated,Tot_Fourths,early,pupation_rate,death_rate,fourth_rate,early_rate
C3 Trial 1,2.528,51,51,45,0.882353,NA,NA,10,4,4,2,6,0,0.2,0.4,0.6,0
C6 Trial 1,2.532,30,30,20,0.666667,3.60E+07,7.556303,10,2,7,1,8,0,0.1,0.2,0.8,0
C7 Trial 1,2.491,18,18,6,0.333333,NA,NA,10,9,0,1,1,0,0.1,0.9,0.1,0
C8 Trial 1,2.43,66,66,46,0.69697,NA,NA,12,0,5,7,12,0,0.583333333,0,1,0
C11 Trial 1,2.459,44,44,26,0.590909,1.13E+07,7.053078,10,2,3,5,8,0,0.5,0.2,0.8,0
C12 Trial 1,2.494,54,54,44,0.814815,2.13E+07,7.32838,11,0,11,0,11,0,0,0,1,0
C1 Trial 2,2.495,37,37,NA,NA,1.70E+08,8.230449,11,0,6,5,11,0,0.454545455,0,1,0
C2 Trial 2,2.433,36,36,NA,NA,3.77E+08,8.576341,11,0,11,0,11,0,0,0,1,0
C3 Trial 2,2.369,51,51,NA,NA,3.37E+06,6.52763,10,2,1,7,8,0,0.7,0.2,0.8,0
C4 Trial 2,2.544,24,24,NA,NA,9.83E+07,7.992554,10,2,8,0,8,0,0,0.2,0.8,0
C6 Trial 2,2.527,21,21,NA,NA,1.11E+08,8.045323,10,5,5,0,5,0,0,0.5,0.5,0
C7 Trial 2,2.542,57,57,NA,NA,6.68E+07,7.824776,10,1,3,6,9,0,0.6,0.1,0.9,0
C8 Trial 2,2.405,65,65,NA,NA,5.67E+07,7.753583,11,0,3,8,11,0,0.727272727,0,1,0
C9 Trial 2,2.575,42,42,NA,NA,1.13E+08,8.053078,12,2,10,0,10,0,0,0.166666667,0.833333333,0
C11 Trial 2,2.582,37,37,NA,NA,NA,NA,12,0,5,7,12,0,0.583333333,0,1,0
C1 Trial 3,2.457,45,45,40,0.888889,2.03E+08,8.307496,10,2,2,8,10,0,0.8,0,1,0
C2 Trial 3,2.403,26,26,20,0.769231,9.87E+07,7.994317,10,0,10,0,10,0,0,0,1,0
C4 Trial 3,2.419,51,51,41,0.803922,4.97E+07,7.696356,10,0,10,0,10,0,0,0,1,0
C5 Trial 3,2.519,62,62,52,0.83871,5.73E+07,7.758155,10,1,9,0,9,0,0,0.1,0.9,0
C6 Trial 3,2.508,18,18,17,0.944444,1.33E+07,7.123852,10,0,8,2,10,0,0.2,0,1,0
C8 Trial 3,2.332,33,33,22,0.666667,5.00E+06,6.69897,10,3,7,0,7,0,0,0.3,0.7,0
C9 Trial 3,2.546,23,23,14,0.608696,2.47E+07,7.392697,10,2,3,7,10,0,0.7,0,1,0
C10 Trial 3,NA,24,24,18,0.75,4.00E+06,6.60206,10,2,8,0,8,0,0,0.2,0.8,0
C11 Trial 3,2.283,52,52,40,0.769231,1.33E+07,7.123852,10,3,5,2,7,0,0.2,0.3,0.7,0
C2 Trial 4,2.344,46,46,32,0.695652174,9.29E+07,7.968015714,10,0,9,1,10,0,0.1,0,1,0
C7 Trial 4,2.146,27,27,18,0.666666667,3.25E+08,8.511883361,9,0,7,2,9,0,0.222222222,0,1,0
C15 Trial 4,2.222,22,22,10,0.454545455,1.60E+08,8.204119983,8,0,1,7,7,1,0.875,0,0.875,0.125
C22 Trial 4,2.443,66,66,57,0.863636364,1.77E+08,8.247973266,11,0,11,0,10,1,0,0,0.909090909,0.090909091
C10 Trial 4,2.413,41,41,38,0.926829268,1.09E+08,8.037426498,10,0,10,0,10,0,0,0,1,0
C12 Trial 4,2.249,15,15,11,0.733333333,6.47E+07,7.810904281,7,0,3,4,7,0,0.571428571,0,1,0
C14 Trial 4,2.298,41,41,33,0.804878049,1.00E+08,8,6,0,2,4,6,0,0.666666667,0,1,0
C4 Trial 4,2.506,43,43,29,0.674418605,1.47E+08,8.167317335,10,0,9,1,6,4,0.1,0,0.6,0.4
C16 Trial 4,1.906,19,19,17,0.894736842,1.60E+08,8.204119983,11,0,7,4,11,0,0.363636364,0,1,0
C17 Trial 4,2.344,58,58,47,0.810344828,2.08E+08,8.318063335,7,0,3,4,7,0,0.571428571,0,1,0
C24 Trial 4,NA,42,42,38,0.904761905,1.15E+08,8.06069784,7,0,6,1,7,0,0.142857143,0,1,0
C3 Trial 4,2.486,71,71,56,0.788732394,2.77E+08,8.442479769,9,0,8,1,9,0,0.111111111,0,1,0
C5 Trial 4,2.365,57,57,41,0.719298246,1.37E+08,8.136720567,10,0,10,0,9,1,0,0,0.9,0.1
C11 Trial 4,2.359,54,54,41,0.759259259,2.03E+08,8.307496038,8,0,7,1,8,0,0.125,0,1,0
C21 Trial 4,2.453,64,64,42,0.65625,1.08E+08,8.033423755,10,1,10,0,8,1,0,0.1,0.8,0.1
